Time,Sample,Plot,Device,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error,% Vol,Error
25/05/2022  11:19:13,110,A,0,16.9, ,6.8, ,9.8, ,16.6, ,48.6, ,33.7, 
25/05/2022  11:28:54,111,R,0,23.3, ,18.9, ,3, ,16.4, ,16.1, ,35.3, 
25/05/2022  11:47:54,112,B,0,24.4, ,25.9, ,21.4, ,42, ,46.2, ,40, 
25/05/2022  12:01:50,113,C,0,17.9, ,10.3, ,4.6, ,26.6, ,28.8, ,32.5, 
25/05/2022  12:10:13,114,D,0,27.5, ,28.7, ,3.1, ,36.8, ,41.9, ,38.6, 
25/05/2022  12:22:41,115,E,0,14.2, ,25.7, ,19.2, ,42, ,49.1, ,45.6, 
25/05/2022  12:29:45,116,F,0,32.7, ,23.8, ,6.9, ,30.9, ,45.3, ,18.6, 
25/05/2022  12:45:51,117,G,0,27.1, ,30.6, ,13.2, ,17.5, ,23.7, ,16.6, 
25/05/2022  13:43:52,118,H,0,24.9, ,18.5, ,2.1, ,11.8, ,31.3, ,40.7, 
25/05/2022  14:00:13,119,Q,0,14.2, ,8.9, ,       ,L,17.6, ,12.8, ,22.8, 
25/05/2022  14:03:28,120,P,0,20.4, ,11.5, ,       ,L,7.5, ,5.5, ,22.6, 
25/05/2022  14:06:21,121,O,0,6.2, ,6.9, ,       ,O,       ,L,5, ,11.3, 
25/05/2022  14:09:47,122,N,0,19.3, ,11.4, ,       ,O,0.5, ,8.5, ,20.3, 
25/05/2022  14:13:39,123,M,0,10.5, ,9.1, ,       ,L,5.3, ,6.7, ,24.7, 
25/05/2022  14:18:46,124,L,0,14.2, ,5, ,1, ,18.9, ,24.6, ,25.5, 
25/05/2022  14:25:03,125,I,0,9, ,10.2, ,       ,L,6.8, ,17.7, ,26.2, 
25/05/2022  14:32:29,126,J,0,7.4, ,7, ,       ,L,3.5, ,5.8, ,9.9, 
25/05/2022  14:38:45,127,K,0,12.6, ,5.6, ,       ,L,7.9, ,       ,L,31.5, 
29/05/2022  10:58:44,128,B,0,17.8, ,19.8, ,0.5, ,36.4, ,47.3, ,37.5, 
29/05/2022  11:02:25,129,C,0,11, ,9.4, ,4.4, ,26.1, ,25.7, ,29.6, 
29/05/2022  11:07:34,130,D,0,20.8, ,23.8, ,4.9, ,28.2, ,39.2, ,38.6, 
29/05/2022  11:15:21,131,S,0,16.6, ,13.5, ,       ,L,8.8, ,20.3, ,23.6, 
29/05/2022  11:23:23,132,T,0,5.7, ,10, ,       ,L,14.5, ,13.9, ,18.1, 
29/05/2022  11:30:59,133,A,0,15.6, ,6.7, ,8.7, ,15.6, ,19.7, ,33.7, 
29/05/2022  11:44:07,134,R,0,20.7, ,19.3, ,       ,L,14.3, ,15.7, ,40.5, 
29/05/2022  12:07:41,135,E,0,12.9, ,27.4, ,18.2, ,42.5, ,49.2, ,46.2, 
